xPosition,yPosition,zPosition,Steering,Throttle,BPE,VN_ax,VN_ay,Velocity,TimeStamp,sector,microsector,laps,delta,dist1,driver
44.31542122607425,75.92255306075504,0.0,0.08425099396086086,0.0,0.37365840176010173,8.052497123077124,-10.57745232924461,17.611649009316064,7177,2,18,0.0,0.0014217040135582387,0.025038552081923626,Charlie
44.30262533984433,75.901031110161,0.0,0.08568600236461146,0.0,0.37156095994864663,8.165336159396134,-10.495211425083912,17.596604577512576,7178,2,18,0.0,0.0014231701997827334,0.025042963252076333,Charlie
44.28984324691324,75.87949583493047,0.0,0.08692995082180499,0.0,0.3667998557842127,8.277047589178348,-10.49154810422969,17.581661761096804,7179,2,18,0.0,0.0014192955939381052,0.02495357507163476,Charlie
44.277122996585604,75.85802780962587,0.0,0.08835603046158041,0.0,0.3646493570579162,8.387575686944416,-10.448114171855144,17.566764842387595,7180,2,18,0.0,0.0014207506387707385,0.024957992370957527,Charlie
44.26441694254347,75.83654624676488,0.0,0.08990722162481235,0.0,0.3624717101990776,8.496917053348943,-10.404377316587748,17.551914400802648,7181,2,18,0.0,0.0014222055569367608,0.02496243019569988,Charlie
44.25172533736895,75.8150509903693,0.0,0.09132742559245086,0.0,0.3602678739356324,8.60506831622743,-10.360353164305982,17.537110995297702,7182,2,18,0.0,0.001423660330206132,0.024966889230427114,Charlie
44.23904843364417,75.7935418844608,0.0,0.09272841886157959,0.0,0.3580388215384112,8.71202612802246,-10.31605748378617,17.522355164056155,7183,2,18,0.0,0.0014251149423544697,0.02497137016953843,Charlie
44.22638648395124,75.7720187730611,0.0,0.09428662608714516,0.0,0.35578554122180706,8.817787163206491,-10.271506139835362,17.50764742417012,7184,2,18,0.0,0.0014265693792066315,0.02497587371726695,Charlie
44.21373974087227,75.750481500192,0.0,0.09583052546149966,0.0,0.3535090330629446,8.922348239464272,-10.226715550008365,17.492988271387247,7185,2,18,0.0,0.0014280236286459869,0.024980400587168106,Charlie
44.20110845698939,75.72892990987515,0.0,0.09727675559745112,0.0,0.35121033961606685,9.025705248863304,-10.18170196472375,17.47837817920414,7186,2,18,0.0,0.0014294776808674746,0.024984951504933406,Charlie
44.18849288488472,75.70736384613231,0.0,0.09881336726306565,0.0,0.34889049786085685,9.127854900019683,-10.136481798835316,17.463817598985326,7187,2,18,0.0,0.0014309315281104784,0.024989527203558737,Charlie
44.17589327714037,75.68578315298522,0.0,0.10055992342275528,0.0,0.34655056137916207,9.228793913240542,-10.091071636832998,17.449306959608933,7188,2,18,0.0,0.0014323851649828627,0.024994128428176055,Charlie
44.16330988633846,75.66418767445556,0.0,0.10233812175025127,0.0,0.3441916007578264,9.328519017939369,-10.045488238325293,17.43484666710374,7189,2,18,0.0,0.0014338385883114109,0.024998755932585937,Charlie
44.15074296506111,75.6425772545651,0.0,0.10393857500265015,0.0,0.34181470400700276,9.427026950051882,-9.99974854312075,17.42043710427733,7190,2,18,0.0,0.0014352917973039531,0.02500341048121868,Charlie
44.13819276589044,75.62095173733556,0.0,0.10552234400648827,0.0,0.3394209769658144,9.524314449453522,-9.95386967655047,17.40607863033555,7191,2,18,0.0,0.001436744793538381,0.025008092848054275,Charlie
44.12565954140857,75.59931096678866,0.0,0.10721456416962674,0.0,0.33701154371400954,9.620378257379409,-9.90786934606829,17.391771580493224,7192,2,18,0.0,0.0014381975810194214,0.025012803816707674,Charlie
44.1131435441976,75.57765478694614,0.0,0.10888420509013391,0.0,0.33458757337908757,9.715214292633904,-9.861765087797105,17.377516265012694,7193,2,18,0.0,0.0014396501663420517,0.025017544181537232,Charlie
44.10064502683969,75.55598304182976,0.0,0.11045097687455936,0.0,0.33215022948435824,9.808819277422023,-9.815574638995928,17.363312969323438,7194,2,18,0.0,0.001441102558609221,0.025022314746024676,Charlie
44.08816424191692,75.53429557546117,0.0,0.11205567440099454,0.0,0.32970069504353333,9.901189927581681,-9.769315943376377,17.34916195360608,7195,2,18,0.0,0.0014425547695360455,0.02502711632362775,Charlie
44.075701442011415,75.51259223186211,0.0,0.11350690351942269,0.0,0.3272401729702171,9.992322950023917,-9.723007155785064,17.335063452367685,7196,2,18,0.0,0.0014440068135110596,0.02503194973786549,Charlie
44.06325687970531,75.49087285505436,0.0,0.11483284171758933,0.0,0.32476988646958527,10.082215040181124,-9.676666646867375,17.321017674008658,7197,2,18,0.0,0.0014454587076322965,0.02503681582194872,Charlie
44.05083080758071,75.46913728905962,0.0,0.11645055207193747,0.0,0.32229107942074214,10.17086287946506,-9.59407833161807,17.307024800381527,7198,2,18,0.0,0.001446910471755811,0.025041715418609556,Charlie
44.03842347821971,75.4473853778996,0.0,0.11809646171908891,0.0,0.3173465546873381,10.25832456041147,-9.583903038074396,17.293137456854243,7199,2,18,0.0,0.0014429122433296717,0.024952479762077928,Charlie
44.02608168100271,75.42569883282746,0.0,0.11965470540425044,0.0,0.31485956141323634,10.344535482524869,-9.537551206861789,17.279303192775984,7200,2,18,0.0,0.0014443528913219597,0.02495741152651476,Charlie
